TransactionID,TransactionDate,StoreID,ProductID,SupplierID,MovementType,OpeningStock,QuantityReceived,QuantitySold,QuantityReturned,QuantityWaste,QuantityAdjusted,ShrinkageQty,ClosingStock,ReorderLevel,ExpectedStock,ActualStock,UnitCost,UnitPrice,SalesAmount,CostAmount,BatchNumber,ExpiryDate,PaymentType,ReplenishmentStatus
100000,2025-11-24,S001,P004,SUP05,Receipt,121,53,23,0,0,0,0,-151,15.0,151,-151,0.78,1.29,29.67,17.94,B-8359,2025-12-01,Contactless,On Time
100001,2025-03-23,S006,P014,SUP05,Adjustment,204,92,31,0,0,0,0,265,12.0,265,265,0.62,1.25,38.75,19.22,B-6925,2026-03-23,Cash,
100002,2025-12-27,S001,P003,SUP04,Adjustment,134,0,60,0,0,0,0,74,38.0,74,74,1.92,2.99,179.4,115.2,B-2169,2026-01-17,Cash,
100003,2025-10-01,S003,P008,SUP08,Receipt,109,75,23,0,0,0,0,161,82.0,161,161,4.1,6.49,149.27,94.3,B-6155,2025-10-06,Cash,Partial
100004,2025-09-13,S008,P013,SUP03,Sale,115,0,38,0,0,0,0,77,5.0,77,77,0.18,0.45,17.1,6.84,B-2796,2027-09-13,Cash,
100005,2025-11-18,S007,P006,SUP10,Sale,174,0,31,0,0,0,2,141,25.0,143,141,1.25,2.19,67.89,38.75,B-5808,2025-11-28,Voucher,
100006,2025-03-22,S001,P015,SUP05,Shrinkage,220,32,44,0,0,0,0,208,11.0,208,208,0.55,1.49,65.56,24.2,B-6310,2025-09-18,Voucher,
100007,2025-01-10,S006,P004,SUP05,Shrinkage,172,41,48,1,0,0,0,166,15.0,166,166,0.78,1.29,61.92,38.22,B-7932,2025-01-17,Cash,
100008,2025-10-04,S005,P007,SUP07,Adjustment,10,0,13,0,0,0,0,-3,76.0,-3,-3,3.8,5.99,77.87,49.4,B-1964,2025-10-09,Cash,
100009,2025-02-04,S006,P002,SUP02,Adjustment,67,34,45,0,0,0,0,56,8.0,56,56,0.42,0.89,40.05,18.9,B-8062,2025-02-09,Contactless,
100010,2025-08-05,S008,P014,SUP01,Waste,39,0,11,0,0,0,0,28,12.0,28,28,0.62,1.25,13.75,6.82,B-2604,2026-08-05,Card,
100011,2025-11-30,S001,P018,SUP02,Waste,151,0,31,0,0,0,1,119,39.0,120,119,1.95,3.49,108.19,60.45,B-8973,2026-05-29,Cash,
100012,2025-04-08,S004,P010,SUP01,Shrinkage,90,0,0,1,0,0,0,91,11.0,91,91,0.58,1.09,0.0,0.58,B-2113,2027-04-08,Cash,
100013,2025-07-26,S004,P004,SUP10,Sale,50,20,6,0,0,0,0,64,15.0,64,64,0.78,1.29,7.74,4.68,B-1152,2025-08-02,Voucher,
100014,2025-11-15,S002,P019,SUP02,Adjustment,83,26,24,0,0,0,0,85,17.0,85,85,0.88,1.59,38.16,21.12,B-9666,2026-11-15,Card,
100015,2025-12-08,S005,P018,SUP02,Sale,149,34,42,0,0,0,0,141,39.0,141,141,1.95,3.49,146.58,81.9,B-2512,2026-06-06,Voucher,
100016,2025-05-22,S001,P002,SUP06,Shrinkage,167,0,15,0,0,0,0,152,8.0,152,152,0.42,0.89,13.35,6.3,B-3426,2025-05-27,Voucher,
100017,2025-03-07,S005,P002,SUP06,Receipt,84,0,35,0,0,0,2,47,8.0,49,47,0.42,0.89,31.15,14.7,B-3662,2025-03-12,Cash,Late
100018,2025-01-13,S006,P006,SUP07,Return,5,0,46,0,0,0,0,-41,25.0,-41,-41,1.25,2.19,100.74,57.5,B-4728,2025-01-23,Cash,
100019,2025-01-13,S007,P007,SUP06,Shrinkage,37,79,38,0,0,0,0,78,76.0,78,78,3.8,5.99,227.62,144.4,B-5349,2025-01-18,Card,
100020,2025-02-25,S007,P020,SUP06,Adjustment,113,0,9,0,0,0,0,104,,104,104,1.4,2.79,25.11,12.6,B-4228,2027-02-25,Contactless,
100021,2025-08-09,S006,P003,SUP10,Adjustment,74,0,57,0,0,0,0,17,38.0,17,17,1.92,2.99,170.43,109.44,B-3851,2025-08-30,Contactless,
100022,2025-07-27,S001,P018,SUP05,Sale,105,0,43,0,0,0,0,62,39.0,62,62,1.95,3.49,150.07,83.85,B-5649,2026-01-23,Contactless,
100023,2025-02-17,S005,P008,SUP04,Adjustment,131,26,49,0,0,0,0,108,82.0,108,108,4.1,6.49,318.01,200.9,B-1090,2025-02-22,Card,
100024,2025-08-06,S003,P008,SUP09,Adjustment,111,0,10,0,0,0,0,101,82.0,101,101,4.1,6.49,64.9,41.0,B-9270,2025-08-11,Voucher,
100025,2025-10-08,S003,P015,SUP08,Shrinkage,24,0,34,0,0,0,0,-10,11.0,-10,-10,0.55,1.49,50.66,18.7,B-2320,2026-04-06,Cash,
100026,2025-03-19,S007,P008,SUP03,Sale,114,31,7,0,0,0,0,138,82.0,138,138,4.1,6.49,45.43,28.7,B-6763,2025-03-24,Contactless,
100027,2025-07-19,S004,P014,SUP08,Waste,103,34,26,0,0,0,0,111,12.0,111,111,0.62,1.25,32.5,16.12,B-1444,2026-07-19,Card,
100028,2025-11-26,S003,P014,SUP08,Return,139,57,9,0,0,0,0,187,12.0,187,187,0.62,1.25,11.25,5.58,B-4673,2026-11-26,Card,
100029,2025-11-30,S001,P002,SUP04,Adjustment,135,54,26,0,0,0,0,163,8.0,163,163,0.42,0.89,23.14,10.92,B-2876,2025-12-05,Cash,
100030,2025-06-09,S001,P004,SUP05,Shrinkage,3,14,36,0,0,0,0,-19,15.0,-19,-19,0.78,1.29,46.44,28.08,B-1672,2025-06-16,Contactless,
100031,2025-09-30,S006,P014,SUP02,Adjustment,105,13,54,0,0,0,0,64,12.0,64,64,0.62,1.25,67.5,33.48,B-5425,2026-09-30,Voucher,
100032,2025-08-27,S005,P014,SUP06,Shrinkage,187,2,34,0,0,0,2,153,12.0,155,153,0.62,1.25,42.5,21.08,B-5526,2026-08-27,Card,
100033,2025-09-22,S002,P007,SUP04,Shrinkage,89,0,0,0,0,0,0,89,76.0,89,89,3.8,5.99,0.0,0.0,B-7046,2025-09-27,Voucher,
100034,2025-10-11,S006,P017,SUP07,Receipt,127,0,9,0,0,0,0,118,24.0,118,118,1.22,2.19,19.71,10.98,B-4545,2025-11-25,Voucher,Late
100035,2025-10-29,S005,P017,SUP02,Sale,102,0,20,0,0,0,0,82,24.0,82,82,1.22,2.19,43.8,24.4,B-1200,2025-12-13,Contactless,
100036,2025-08-29,S008,P016,SUP06,Receipt,174,96,38,0,0,0,1,231,27.0,232,231,1.38,2.49,94.62,52.44,B-2940,2025-09-19,Voucher,Partial
100037,2025-11-02,S004,P020,SUP09,Shrinkage,24,77,8,0,0,0,2,91,28.0,93,91,1.4,2.79,22.32,11.2,B-2229,2027-11-02,Cash,
